phon	freq	word	grammar	id
sIEn@	1.0	sienna	N	42034
sIrQk5	1.0	sirocco	N	42272
skIfP	1.0	skiffle	N	42394
smVt	1.0	smut	V	42911
sQlId@s	1.0	solidus	N	43264
subrIk1	1.0	soubriquet	N	43415
sut#n	1.0	soutane	N	43478
spEkP	1.0	speckle	N	43674
spIv	1.0	spiv	N	43842
spl{t	1.0	splat	N	43850
st#k@z	1.0	starkers	A	44350
stINg5	1.0	stingo	N	44654
stInt	1.0	stint	V	44664
str5fI	1.0	strophe	N	45041
st3_@n	1.0	sturgeon	N	45129
st#ImI	1.0	stymie	N	45150
sVfr@g@n	1.0	suffragan	A	45374
sVlfQn@m#Id	1.0	sulphonamide	N	45425
sVp	1.0	sup	N	45532
sw$f	1.0	swarf	N	45801
t{fr1l	1.0	taffrail	N	46147
t{m@rInd	1.0	tamarind	N	46255
t#r5	1.0	taro	N	46369
t{t#z	1.0	tatas	N	46413
t$z	1.0	tawse	N	46444
tEstIs	1.0	testis	N	46853
TrQsP	1.0	throstle	N	47212
tIg	1.0	tig	N	47352
tImbr@l	1.0	timbrel	N	47392
tItP	1.0	tittle	N	47536
tQksIn	1.0	tocsin	N	47571
tQmtQm	1.0	tomtom	N	47652
t5k	1.0	toque	N	47767
trEnd	1.0	trend	V	48258
tr5p	1.0	trope	N	48420
v3mIsElI	1.0	vermicelli	N	50110
v3mIfju_	1.0	vermifuge	N	50114
v3s5	1.0	verso	N	50134
v3tEks	1.0	vertex	N	50140
v@lut	1.0	volute	N	50507
wQ_	1.0	wadge	N	50586
w{Nk	1.0	wank	V	50717
wElp	1.0	whelp	N	51338
w5ld	1.0	wold	N	51889
w#U	1.0	wow	N	52103
r5T	1.0	wroth	A	52190
zInj@	1.0	zinnia	N	52413
{bsInT	2.0	absinth	N	143
{dz	2.0	adze	N	624
@g1vI	2.0	agave	N	766
{lbjUmIn	2.0	albumen	N	978
{mpE@R	2.0	ampere	N	1327
{n5d#In	2.0	anodyne	A	1538
@nQfIliz	2.0	anopheles	N	1550
{sf@dEl	2.0	asphodel	N	2232
$rIkP	2.0	auricle	N	2532
{zIm@T	2.0	azimuth	N	2720
b$ls@m	2.0	balsam	N	2984
b{skjul	2.0	bascule	N	3223
b{sInEt	2.0	bassinet	N	3265
b1TQs	2.0	bathos	N	3297
bIlk	2.0	bilk	V	3941
b#In	2.0	bine	N	3997
bIn@kP	2.0	binnacle	N	4001
b#IpEd	2.0	biped	N	4025
brIg	2.0	brig	N	5235
bruIn	2.0	bruin	N	5417
b3DH	2.0	burthen	N	5750
k@k#5	2.0	cacao	N	5917
k{f	2.0	caff	N	5956
k@l#I@pI	2.0	calliope	N	6034
k{l@s	2.0	callus	N	6056
k{pst@n	2.0	capstan	N	6304
k{sk#r@	2.0	cascara	N	6522
k{sk	2.0	casque	N	6555
JIw#w@	2.0	chihuahua	N	7293
JIpmVNk	2.0	chipmunk	N	7363
JVk@	2.0	chukka	N	7519
sItr@n	2.0	citron	N	7638
kQdIsIl	2.0	codicil	N	8198
k5lI	2.0	coley	N	8329
k@ns3t	2.0	concert	V	8909
k@ntInjU5	2.0	continuo	N	9443
k$b@l	2.0	corbel	N	9723
k@rQl@	2.0	corolla	N	9788
kQs	2.0	cos	N	9881
kuT	2.0	couth	A	10116
kQks	2.0	cox	N	10172
krQmlEk	2.0	cromlech	N	10480
kVmIn	2.0	cumin	N	10756
kVnIlINg@s	2.0	cunnilingus	N	10766
kjU@r@s5	2.0	curacao	N	10791
kVtP	2.0	cuttle	N	10935
din#R	2.0	dinar	N	12432
dINk@m	2.0	dinkum	A	12452
dQlmEn	2.0	dolmen	N	13245
dQs	2.0	doss	N	13348
drIvP	2.0	drivel	V	13697
dr5g	2.0	drogue	N	13709
drVb	2.0	drub	V	13753
dVbIn	2.0	dubbin	N	13811
